factor,level,Day,Addition,mean_n,sd,se,pe_mean_n,pe_sd,pe_se,pe_perc_diff,var
Crop,Corn,87,Carbon,1921.469,626.358,180.814,302.883,89.493,25.835,18.713,cum_CO2_flux_ug_g
Crop,Corn,87,Control,1618.586,536.864,154.979,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,87,Nitrogen,1534.412,673.927,194.546,-84.174,137.063,39.567,-5.2,cum_CO2_flux_ug_g
Crop,Corn,100,Carbon,2109.944,698.804,201.727,313.747,102.071,29.465,17.467,cum_CO2_flux_ug_g
Crop,Corn,100,Control,1796.197,596.733,172.262,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,100,Nitrogen,1694.503,737.179,212.805,-101.694,140.446,40.543,-5.662,cum_CO2_flux_ug_g
Crop,Corn,114,Carbon,2283.483,761.984,219.966,319.148,108.042,31.189,16.247,cum_CO2_flux_ug_g
Crop,Corn,114,Control,1964.335,653.942,188.777,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,114,Nitrogen,1827.685,790.633,228.236,-136.651,136.691,39.459,-6.957,cum_CO2_flux_ug_g
Crop,Corn,132,Carbon,2512.513,852.923,246.218,341.965,121.653,35.118,15.755,cum_CO2_flux_ug_g
Crop,Corn,132,Control,2170.549,731.271,211.1,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,132,Nitrogen,2012.097,868.092,250.597,-158.452,136.822,39.497,-7.3,cum_CO2_flux_ug_g
Crop,Corn,146,Carbon,2695.24,917.739,264.929,362.981,126.793,36.602,15.564,cum_CO2_flux_ug_g
Crop,Corn,146,Control,2332.259,790.947,228.327,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,146,Nitrogen,2157.286,931.273,268.835,-174.972,140.326,40.509,-7.502,cum_CO2_flux_ug_g
Crop,Miscanthus,5,Carbon,150.209,38.262,11.045,43.324,-4.643,-1.34,40.534,cum_CO2_flux_ug_g
Crop,Miscanthus,5,Control,106.884,42.905,12.386,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,5,Nitrogen,102.689,42.493,12.267,-4.195,-0.412,-0.119,-3.925,cum_CO2_flux_ug_g
Crop,Miscanthus,10,Carbon,286.068,77.544,22.385,62.581,-8.473,-2.446,28.002,cum_CO2_flux_ug_g
Crop,Miscanthus,10,Control,223.487,86.017,24.831,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,10,Nitrogen,209.232,85.275,24.617,-14.255,-0.742,-0.214,-6.378,cum_CO2_flux_ug_g
Crop,Miscanthus,16,Carbon,427.452,125.624,36.265,80.029,-7.373,-2.128,23.035,cum_CO2_flux_ug_g
Crop,Miscanthus,16,Control,347.423,132.997,38.393,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,16,Nitrogen,326.827,134.46,38.815,-20.595,1.463,0.422,-5.928,cum_CO2_flux_ug_g
Crop,Miscanthus,24,Carbon,664.67,226.35,65.342,103.141,-8.724,-2.518,18.368,cum_CO2_flux_ug_g
Crop,Miscanthus,24,Control,561.529,235.074,67.86,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,24,Nitrogen,520.998,234.913,67.814,-40.531,-0.16,-0.046,-7.218,cum_CO2_flux_ug_g
Crop,Miscanthus,31,Carbon,862.916,311.437,89.904,114.047,-14.262,-4.117,15.229,cum_CO2_flux_ug_g
Crop,Miscanthus,31,Control,748.869,325.699,94.021,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,31,Nitrogen,692.783,327.165,94.444,-56.085,1.466,0.423,-7.489,cum_CO2_flux_ug_g
Crop,Miscanthus,38,Carbon,1027.406,372.675,107.582,129.991,-18.912,-5.459,14.485,cum_CO2_flux_ug_g
Crop,Miscanthus,38,Control,897.415,391.587,113.041,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,38,Nitrogen,828.189,394.393,113.851,-69.227,2.805,0.81,-7.714,cum_CO2_flux_ug_g
Crop,Miscanthus,47,Carbon,1259.851,471.775,136.19,155.269,-18.457,-5.328,14.057,cum_CO2_flux_ug_g
Crop,Miscanthus,47,Control,1104.582,490.232,141.518,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,47,Nitrogen,1023.24,499.139,144.089,-81.342,8.907,2.571,-7.364,cum_CO2_flux_ug_g
Crop,Miscanthus,54,Carbon,1464.201,574.423,165.822,173.611,-16.245,-4.69,13.452,cum_CO2_flux_ug_g
Crop,Miscanthus,54,Control,1290.59,590.668,170.511,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,54,Nitrogen,1200.194,600.858,173.453,-90.396,10.19,2.942,-7.004,cum_CO2_flux_ug_g
Crop,Miscanthus,60,Carbon,1605.545,641.19,185.096,181.441,-18.125,-5.232,12.741,cum_CO2_flux_ug_g
Crop,Miscanthus,60,Control,1424.104,659.315,190.328,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,60,Nitrogen,1326.095,666.216,192.32,-98.009,6.901,1.992,-6.882,cum_CO2_flux_ug_g
Crop,Miscanthus,67,Carbon,1736.465,698.399,201.61,182.373,-23.522,-6.79,11.735,cum_CO2_flux_ug_g
Crop,Miscanthus,67,Control,1554.093,721.921,208.401,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,67,Nitrogen,1451.805,727.936,210.137,-102.287,6.015,1.736,-6.582,cum_CO2_flux_ug_g
Crop,Miscanthus,76,Carbon,1908.401,781.43,225.58,182.696,-25.6,-7.39,10.587,cum_CO2_flux_ug_g
Crop,Miscanthus,76,Control,1725.705,807.03,232.97,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,76,Nitrogen,1615.685,807.471,233.097,-110.021,0.441,0.127,-6.375,cum_CO2_flux_ug_g
Crop,Miscanthus,87,Carbon,2089.922,858.646,247.87,184.187,-31.793,-9.178,9.665,cum_CO2_flux_ug_g
Crop,Miscanthus,87,Control,1905.734,890.439,257.048,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,87,Nitrogen,1787.599,886.017,255.771,-118.135,-4.422,-1.276,-6.199,cum_CO2_flux_ug_g
Crop,Miscanthus,100,Carbon,2319.222,964.4,278.398,177.407,-31.539,-9.104,8.283,cum_CO2_flux_ug_g
Crop,Miscanthus,100,Control,2141.815,995.938,287.503,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,100,Nitrogen,2008.982,992.372,286.473,-132.834,-3.566,-1.029,-6.202,cum_CO2_flux_ug_g
Crop,Miscanthus,114,Carbon,2512.647,1058.773,305.641,156.485,-27.927,-8.062,6.642,cum_CO2_flux_ug_g
Crop,Miscanthus,114,Control,2356.163,1086.7,313.703,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,114,Nitrogen,2211.896,1081.536,312.213,-144.267,-5.164,-1.491,-6.123,cum_CO2_flux_ug_g
Crop,Miscanthus,132,Carbon,2798.261,1174.266,338.981,160.668,-40.29,-11.631,6.091,cum_CO2_flux_ug_g
Crop,Miscanthus,132,Control,2637.593,1214.556,350.612,0,0,0,0,cum_CO2_flux_ug_g
